date	description	amount	type	pending
2017-12-31	Espresso House	-17.6
2017-12-31	H&M Drottninggatan	-20
2017-12-31	Mama Ye's	-15.8
2017-12-31	Taxi Stockholm	-33.6
2017-12-31	Tele2	-12
2017-12-31	Veggie restaurang	-23
2017-12-30	7-Eleven Odenplan	-8.6
2017-12-30	Pong Thai Buffe	-29
2017-12-30	Veggie restaurang	-17
2017-12-29	Ekholmsnäs Golf	-30
2017-12-29	Nytorget 6 Bar	-157.8
2017-12-27	Vigårda	-32.8
2017-12-27	Veggie restaurang	-19
2017-12-26	Pontus!	-17.8
2017-12-26	Stockholms Stads Bostadsförmedling	-45
2017-12-25	Pascha Deli	-19
2017-12-24	Mama Ye's	-15.8
2017-12-23	Tures Bar	-38.6
2017-12-22	Pascha Deli	-19
2017-12-21	McDonalds Kungsgatan	-19
2017-12-21	Shell	-9.8
2017-12-21	Taxi Stockholm	-72
2017-12-20	Vapiano Gamla stan	-15
2017-12-20	Texas Longhorn	-44.4
2017-12-20	Tobaks Hörnet	-9.626
2017-12-19	Bantorget Se	-24
2017-12-19	Caliente Tapas	-67.4
2017-12-19	ICA Supermarket Baronen	-13
2017-12-19	Nike store	-80
2017-12-17	Sandys	-16.8
2017-12-17	Texas Burger	-22
2017-12-16	Hemköp Odenplan	-49.812
2017-12-16	Pascha Deli	-14
2017-12-16	Snabboteket	-28.5
2017-12-15	Taxi Stockholm	-71
2017-12-14	Pressbyrån Kungsgatan	-10.2
2017-12-14	Ekholmsnäs Gård	-30
2017-12-14	Panini	-6.6
2017-12-13	Pascha Deli	-14
2017-12-13	Riche	-28.8
2017-12-13	Lön	5997
2017-12-13	Taxi Kurir Stockholm	-40
2017-12-12	Curry Spice	-16.8
2017-12-11	Pascha Deli	-14
2017-12-11	Vurma	-12.4
2017-12-11	Vigårda Barbeque	-23
2017-12-10	Vapiano Östermalm	-15
2017-12-07	Hemköp Odenplan	-33.9
2017-12-07	MediaMarkt	-19.6
2017-12-07	Resecentrum	-189
2017-12-07	Wiggo	-19
2017-12-06	Berns Nosh & Chow	-82.2
2017-12-06	Berns Nosh & Chow	-44
2017-12-06	Spotify	-19.8
2017-12-06	Taxi Stockholm	-33.2
2017-12-05	PrisExtra	-28.426
2017-12-05	Systembolaget	-78.92
2017-12-04	Euroaccident	-24.4
2017-12-04	Apotek Hjärtat Fältöversten	-124.8
2017-12-04	Bolån	-226
2017-12-04	Lån 354238	-180
2017-12-04	Pontus!	-80
2017-12-04	Story Hotel	-43.2
2017-12-04	Story Hotel	-28.8
2017-12-04	UCL Tandläkare	-11
2017-12-04	Vigårda Barbeque	-14
2017-12-03	Egmont Tidskrifter	-75
2017-12-03	Bankavgift	-5
2017-12-03	Pascha Deli	-15
2017-12-03	Hyra Stockholm	-400.2
2017-12-03	Mjölby Dataspecialist	-496.018
2017-12-03	Stockholms Hem - Bostad	-400.6
2017-12-03	Sveriges Ingenjörer	-27
2017-12-02	Icha Icha	-19.8
2017-12-02	SL	-158
2017-12-01	Vapiano Östermalm	-19.8
2017-11-30	Pong Norrlandsgatan	-15.8
2017-11-30	Hemköp 	-48.978
2017-11-29	Albert & Jack's	-110.8
2017-11-29	SJ Ombord	-12.4
2017-11-29	SJ Ombord	-34.2
2017-11-29	Skåne Buss	-9
2017-11-28	Roberts Coffee	-10.2
2017-11-28	Skåne Buss	-9
2017-11-26	Elmela Taxi	-20.4
2017-11-26	Pontus!	-19.8
2017-11-26	Waynes Coffee	-14.2
2017-11-25	Beijing 8 Sushi	-17
2017-11-25	L'Angolo	-32
2017-11-24	TGI Fridays Kungsträdgården	-59.4
2017-11-24	Vigårda	-15.8
2017-11-24	Midsommar	-60
2017-11-24	Riche	-25
2017-11-24	Albert & Jack's	-24.8
2017-11-23	Kungsholmens Järn	-25.4
2017-11-23	ICA Nära 	-31.572
2017-11-23	Mandira Indian cuisine	-16.8
2017-11-22	Casino Cosmopol	-400
2017-11-22	Casino Cosmopol	-76.8
2017-11-22	Restaurang AG	-220
2017-11-19	Fac Flygbussarna	-31.8
2017-11-19	Forex exchange	-439.4
2017-11-19	Hms Host Skavsta Flygplats	-28.4						Euro Olycksfallsförsäkring
2017-11-19	Roberts Coffee	-10.2						Euro Sjukvårdsförsäkring
2017-11-18	Collage	-60.4
2017-11-18	East	-13
2017-11-18	East	-13
2017-11-18	Sparande	-6000
2017-11-17	Pontus!	-19.8
2017-11-16	Sturecompagniet	-16.8
2017-11-15	Le Cafe	-50
2017-11-15	Operakällaren	-36
2017-11-15	Taxi 020	-69
2017-11-15	Taxi Kurir Stockholm	-36.8
2017-11-14	Roberts Coffee Östermalmshallen	-36.4
2017-11-13	Pontus!	-19.8
2017-11-12	Humlan Frukost	-52.8
2017-11-12	Taxi Stockholm	-35
2017-11-11	Albert Jack Burgers	-24
2017-11-11	Bistro Napol	-14.4
2017-11-11	Espresso House Stockholm	-11
2017-11-10	Lön	7597
2017-11-10	Vurma	-11
2017-11-09	ICA Nära 	-34.84
2017-11-09	Medstop Apotek Rådjuret	-116.78
2017-11-09	Mia	-30
2017-11-07	Systembolaget Jarlaplan	-55.8
2017-11-07	Taxi 021	-58.4
2017-11-07	Taxi Kurir Stockholm	-20.2
2017-11-07	Resecentrum	-149
2017-11-05	Riche	-11.8
2017-11-05	Riche	-11.8
2017-11-03	Lön	4860
2017-11-03	Salt Men	-143
2017-11-02	AT&T	-44
2017-11-02	Kaffe Hörnet	-15.8
2017-11-02	Espresso House Stockholm	-17.6
2017-11-02	Pontus!	-23
2017-11-01	Bistro Jarl	-12.4
2017-11-01	Bistro Jarl	-12.4
2017-11-01	Spotify	-19.8
2017-11-01	Resecentrum	-129
2017-10-31	7-Eleven Birger Jarlsgatan	-8.6
2017-10-31	Resecentrum	-104.6
2017-10-31	Resecentrum	-123
2017-10-29	H&M Gallerian	-64.8
2017-10-29	H&M Gallerian	-56.8
2017-10-29	H&M Gallerian	-62.6
2017-10-29	Resecentrum	-119
2017-10-28	Apotek Hjärtat	-64.8
2017-10-28	Apotek Hjärtat	-59.8
2017-10-28	Roberts Coffee	-10.2
2017-10-27	Roberts Coffee	-6.6
2017-10-26	Taxi Stockholm	-56.2
2017-10-25	Lån 354238	-388.4
2017-10-25	Vurma	-14
2017-10-25	Hyra Stockholm	-400.6
2017-10-25	Restaurang Riche	-28.8
2017-10-24	Pontus!	-37.8
2017-10-24	Pontus!	-39.8
2017-10-23	L'Angolo	-38
2017-10-23	Taxi Stockholm	-37.6
2017-10-23	Zara Woman	-69
2017-10-23	Salt Men	-65
2017-10-23	Salt Men	-63.6
2017-10-22	Espresso House Stockholm	-17.6
2017-10-22	H&M Götgatan	-20
2017-10-22	Mama Ye's	-15.8
2017-10-22	Taxi Stockholm	-33.6
2017-10-22	Tele2	-12
2017-10-22	Veggie restaurang	-23
2017-10-21	Pressbyrån Grevturegatan	-8.6
2017-10-21	Pong Thai Buffe	-29
2017-10-21	Veggie restaurang	-17
2017-10-20	Ekholmsnäs Golf	-30
2017-10-20	Nytorget 6 Bar	-157.8
2017-10-18	Vigårda	-32.8
2017-10-18	Veggie restaurang	-19
2017-10-17	Pontus!	-17.8
2017-10-17	Stockholms Stads Bostadsförmedling	-45
2017-10-16	L'Angolo	-19
2017-10-15	Mama Ye's	-15.8
2017-10-14	Tures Bar	-38.6
2017-10-13	L'Angolo	-19
2017-10-12	McDonalds	-19
2017-10-12	Shell	-9.8
2017-10-12	Taxi Stockholm	-72
2017-10-11	Vapiano Gamla stan	-15
2017-10-11	Texas Longhorn	-44.4
2017-10-11	Tobaks Hörnet	-9.626
2017-10-10	Bantorget Se	-24
2017-10-10	Caliente Tapas	-67.4
2017-10-10	ICA Supermarket Baronen	-13
2017-10-10	Nike store	-80
2017-10-08	Sandys	-16.8
2017-10-08	Texas Burger	-22
2017-10-07	Hemköp Odenplan	-49.812
2017-10-07	Vurma	-14
2017-10-07	Snabboteket	-28.5
2017-10-06	Taxi Stockholm	-71
2017-10-05	7-Eleven Odenplan	-10.2
2017-10-05	Ekholmsnäs Gård	-30
2017-10-05	Panini	-6.6
2017-10-04	Vurma	-14
2017-10-04	Riche	-28.8
2017-10-04	Lön	5997
2017-10-04	Taxi Kurir Stockholm	-40
2017-10-03	Riche	-16.8
2017-10-02	Vurma	-14
2017-10-02	Vurma Birger Jarlsgatan	-12.4
2017-10-02	Vigårda Barbeque	-23
2017-10-01	Vapiano Östermalm	-15
2017-09-30	Hemköp Odenplan	-33.9
2017-09-30	MediaMarkt	-19.6
2017-09-30	Resecentrum	-189
2017-09-30	Wiggo	-19
2017-09-30	Berns Nosh & Chow	-82.2
2017-09-30	Berns Nosh & Chow	-44
2017-09-30	Spotify	-19.8
2017-09-30	Taxi Stockholm	-33.2
2017-09-29	PrisExtra	-28.426
2017-09-29	Systembolaget	-78.92
2017-09-28	Euroaccident	-24.4
2017-09-28	Apotek Hjärtat Odenplan	-124.8
2017-09-28	Bolån	-226
2017-09-28	Lån 354238	-180
2017-09-28	Pontus!	-80
2017-09-28	Story Hotel	-43.2
2017-09-28	Story Hotel	-28.8
2017-09-28	UCL Tandläkare	-11
2017-09-28	Vigårda Barbeque	-14
2017-09-27	Egmont Tidskrifter	-75
2017-09-27	Bankavgift	-5
2017-09-27	Vapiano Östermalm	-15
2017-09-27	Hyra Stockholm	-400.2
2017-09-27	Mjölby Dataspecialist	-496.018
2017-09-27	Stockholms Hem	-400.6
2017-09-27	Sveriges Ingenjörer	-27
2017-09-26	Icha Icha	-19.8
2017-09-26	SL	-158
2017-09-25	Vapiano Gamla stan	-19.8
2017-09-24	Curry Spice	-15.8
2017-09-24	Hemköp Fältöversten	-48.978
2017-09-23	Albert & Jack's	-110.8
2017-09-23	SJ Ombord	-12.4
2017-09-23	SJ Ombord	-34.2
2017-09-23	Skåne Buss	-9
2017-09-22	Roberts Coffee	-10.2
2017-09-22	Skåne Buss	-9
2017-09-20	Taxi Stockholm	-20.4
2017-09-20	Pontus!	-19.8
2017-09-20	Waynes Coffee	-14.2
2017-09-19	Beijing 8 Sushi	-17
2017-09-19	L'Angolo	-32
2017-09-18	TGI Fridays Stureplan	-59.4
2017-09-18	Mama Ye's	-15.8
2017-09-18	Midsommar	-60
2017-09-18	Riche	-25
2017-09-18	Vassa Eggen	-24.8
2017-09-17	Clas Ohlson Gallerian	-25.4
2017-09-17	ICA Nära Sveavägen	-31.572
2017-09-17	Mandira Indian cuisine	-16.8
2017-09-16	Casino Cosmopol	-400
2017-09-16	Casino Cosmopol	-76.8
2017-09-16	Restaurang AG	-220
2017-09-13	Fac Flygbussarna	-31.8
2017-09-13	Forex exchange	-439.4
2017-09-13	Hms Host Skavsta Flygplats	-28.4
2017-09-13	Roberts Coffee	-10.2
2017-09-12	Collage	-60.4
2017-09-12	Sturehof	-13
2017-09-12	Sturehof	-13
2017-09-12	Sparkonto	-6000
2017-09-11	Pontus!	-19.8
2017-09-10	Curry Spice	-16.8
2017-09-09	Le Cafe	-50
2017-09-09	Operakällaren	-36
2017-09-09	Taxi 022	-69
2017-09-09	Taxi Kurir Stockholm	-36.8
2017-09-08	Roberts Coffee Östermalmshallen	-36.4
2017-09-07	Pontus!	-19.8
2017-09-06	Humlan	-52.8
2017-09-06	Taxi Stockholm	-35
2017-09-05	Texas Burger	-24
2017-09-05	Bistro Napol	-14.4
2017-09-05	Waynes Coffee	-11
2017-09-05	Lön	7597
2017-09-04	Vurma	-11
2017-09-03	ICA Nära Sveavägen	-34.84
2017-09-03	Medstop Apotek Rådjuret	-116.78
2017-09-03	Mia	-30
2017-09-01	Systembolaget	-55.8
2017-09-01	Taxi 023	-58.4
2017-09-01	Taxi Kurir Stockholm	-20.2
2017-09-01	Resecentrum	-149
2017-09-01	Resecentrum	-140
2017-08-30	Hemköp Odenplan	-8.99
2017-08-30	Mama Ye's	-17
2017-08-30	Systembolaget	-28.14
2017-08-30	UCL Tandläkare	-11
2017-08-30	Vurma Birger Jarlsgatan	-12.4
2017-08-30	Vurma Birger Jarlsgatan	-12.4
2017-08-29	Pressbyrån Kungsgatan	-11.8
2017-08-29	Bankavgift	-5
2017-08-29	Hyra Stockholm	-400.6
2017-08-29	Spotify	-19.8
2017-08-29	Thai Take Away	-15.8
2017-08-28	Apotek Hjärtat Odenplan	-124.8
