date	description	amount	type	pending
2018-12-31	Espresso House	-88
2018-12-31	H&M Drottninggatan	-100
2018-12-31	Mama Ye's	-79
2018-12-31	Taxi Stockholm	-168
2018-12-31	Upplysning 636-9094	-500
2018-12-31	Tele2	-60
2018-12-31	Veggie restaurang	-115
2018-12-30	7-Eleven Odenplan	-43
2018-12-30	Pong Thai Buffe	-145
2018-12-30	Veggie restaurang	-85
2018-12-29	Ekholmsnäs Golf	-150
2018-12-29	Nytorget 6 Bar	-789
2018-12-27	Vigårda	-164
2018-12-27	Veggie restaurang	-95
2018-12-26	Pontus!	-89
2018-12-26	Stockholms Stads Bostadsförmedling	-225
2018-12-25	Pascha Deli	-95
2018-12-24	Mama Ye's	-79
2018-12-23	Tures Bar	-193
2018-12-22	Pascha Deli	-95
2018-12-21	McDonalds Kungsgatan	-95
2018-12-21	Shell	-49
2018-12-21	Taxi Stockholm	-360
2018-12-21	Upplysning 636-9094	-500
2018-12-20	Vapiano Gamla stan	-75
2018-12-20	Texas Longhorn	-222
2018-12-20	Swish mottagen +46706460556	111
2018-12-20	Tobaks Hörnet	-48.13
2018-12-19	Bantorget Se	-120
2018-12-19	Caliente Tapas	-337
2018-12-19	ICA Supermarket Baronen	-65
2018-12-19	Nike store	-400
2018-12-17	Sandys	-84
2018-12-17	Texas Burger	-110
2018-12-16	Hemköp Odenplan	-249.06
2018-12-16	Pascha Deli	-70
2018-12-16	Snabboteket	-142.5
2018-12-15	Taxi Stockholm	-355
2018-12-14	Pressbyrån Kungsgatan	-51
2018-12-14	Ekholmsnäs Gård	-150
2018-12-14	Panini	-33
2018-12-13	Pascha Deli	-70
2018-12-13	Riche	-144
2018-12-22	Lön	29985
2018-12-13	Taxi Kurir Stockholm	-200
2018-12-12	Curry Spice	-84
2018-12-11	Pascha Deli	-70
2018-12-11	Vurma	-62
2018-12-11	Vigårda Barbeque	-115
2018-12-10	Vapiano Östermalm	-75
2018-12-07	Hemköp Odenplan	-169.5
2018-12-07	MediaMarkt	-98
2018-12-07	Resecentrum	-945
2018-12-07	Wiggo	-95
2018-12-06	Berns Nosh & Chow	-411
2018-12-06	Berns Nosh & Chow	-220
2018-12-06	Spotify	-99
2018-12-06	Taxi Stockholm	-166
2018-12-05	PrisExtra	-142.13
2018-12-05	Systembolaget	-394.6
2018-12-04	Euroaccident	-122
2018-12-04	Apotek Hjärtat Fältöversten	-624
2018-12-04	Bolån	-1130
2018-12-04	Lån 354238	-900
2018-12-04	Pontus!	-400
2018-12-04	Story Hotel	-216
2018-12-04	Story Hotel	-144
2018-12-04	UCL Tandläkare	-55	PAYMENT
2018-12-04	Vigårda Barbeque	-70
2018-12-03	Egmont Tidskrifter	-375
2018-12-03	Bankavgift	-25
2018-12-03	Pascha Deli	-75
2018-12-03	Hyra Stockholm	-2001	PAYMENT
2018-12-03	Mjölby Dataspecialist	-2480.09
2018-12-03	Stockholms Hem - Bostad	-2003
2018-12-03	Sveriges Ingenjörer	-135
2018-12-02	Icha Icha	-99
2018-12-02	SL	-790
2018-12-01	Vapiano Östermalm	-99
2018-11-30	Pong Norrlandsgatan	-79
2018-11-30	Hemköp 	-244.89
2018-11-29	Albert & Jack's	-554
2018-11-29	SJ Ombord	-62
2018-11-29	SJ Ombord	-171
2018-11-29	Skåne Buss	-45
2018-11-28	Roberts Coffee	-51
2018-11-28	Skåne Buss	-45
2018-11-26	Elmela Taxi	-102
2018-11-26	Pontus!	-99
2018-11-26	Waynes Coffee	-71
2018-11-25	Beijing 8 Sushi	-85
2018-11-25	L'Angolo	-160
2018-11-24	TGI Fridays Kungsträdgården	-297
2018-11-24	Vigårda	-79
2018-11-24	Midsommar	-300
2018-11-24	Riche	-125
2018-11-24	Albert & Jack's	-124
2018-11-23	Kungsholmens Järn	-127
2018-11-23	ICA Nära 	-157.86
2018-11-23	Mandira Indian cuisine	-84
2018-11-22	Casino Cosmopol	-2000
2018-11-22	Casino Cosmopol	-384
2018-11-22	Restaurang AG	-1100
2018-11-20	Lön	29432
2018-11-19	Fac Flygbussarna	-159
2018-11-19	Forex exchange	-2197
2018-11-19	Hms Host Skavsta Flygplats	-142					Euro Olycksfallsförsäkring
2018-11-19	Roberts Coffee	-51					Euro Sjukvårdsförsäkring
2018-11-18	Collage	-302
2018-11-18	East	-65
2018-11-18	East	-65
2018-11-18	Sparande	-30000
2018-11-17	Pontus!	-99
2018-11-16	Sturecompagniet	-84
2018-11-15	Le Cafe	-250
2018-11-15	Operakällaren	-180
2018-11-15	Taxi 020	-345
2018-11-15	Taxi Kurir Stockholm	-184
2018-11-14	Roberts Coffee Östermalmshallen	-182
2018-11-13	Pontus!	-99
2018-11-12	Humlan Frukost	-264
2018-11-12	Taxi Stockholm	-175
2018-11-11	Albert Jack Burgers	-120
2018-11-11	Bistro Napol	-72
2018-11-11	Espresso House Stockholm	-55
2018-11-10	Lön	37985
2018-11-10	Vurma	-55
2018-11-09	ICA Nära 	-174.2
2018-11-09	Medstop Apotek Rådjuret	-583.9
2018-11-09	Mia	-150
2018-11-07	Systembolaget Jarlaplan	-279
2018-11-07	Taxi 021	-292
2018-11-07	Taxi Kurir Stockholm	-101
2018-11-07	Resecentrum	-745
2018-11-05	Riche	-59
2018-11-05	Riche	-59
2018-11-03	Lön	24300
2018-11-03	Salt Men	-715
2018-11-02	AT&T	-220
2018-11-02	Kaffe Hörnet	-79
2018-11-02	Espresso House Stockholm	-88
2018-11-02	Pontus!	-115
2018-11-01	Bistro Jarl	-62
2018-11-01	Bistro Jarl	-62
2018-11-01	Spotify	-99
2018-11-01	Resecentrum	-645
2018-10-31	7-Eleven Birger Jarlsgatan	-43
2018-10-31	Resecentrum	-523
2018-10-31	Resecentrum	-615
2018-10-29	H&M Gallerian	-324
2018-10-29	H&M Gallerian	-284
2018-10-29	H&M Gallerian	-313
2018-10-29	Resecentrum	-595
2018-10-28	Apotek Hjärtat	-324
2018-10-28	Apotek Hjärtat	-299
2018-10-28	Roberts Coffee	-51
2018-10-27	Roberts Coffee	-33
2018-10-26	Taxi Stockholm	-281
2018-10-26	Upplysning 636-9094	-500
2018-10-25	Lån 354238	-1942
2018-10-25	Vurma	-70
2018-10-25	Hyra Stockholm	-2003	PAYMENT
2018-10-25	Restaurang Riche	-144
2018-10-24	Pontus!	-189
2018-10-24	Pontus!	-199
2018-10-23	L'Angolo	-190
2018-10-23	Taxi Stockholm	-188
2018-10-23	Zara Woman	-345
2018-10-23	Salt Men	-325
2018-10-23	Salt Men	-318
2018-10-22	Espresso House Stockholm	-88
2018-10-22	H&M Götgatan	-100
2018-10-22	Mama Ye's	-79
2018-10-22	Taxi Stockholm	-168
2018-10-22	Tele2	-60
2018-10-22	Veggie restaurang	-115
2018-10-21	Pressbyrån Grevturegatan	-43
2018-10-21	Pong Thai Buffe	-145
2018-10-21	Veggie restaurang	-85
2018-10-20	Ekholmsnäs Golf	-150
2018-10-20	Nytorget 6 Bar	-789
2018-10-18	Vigårda	-164
2018-10-18	Veggie restaurang	-95
2018-10-17	Pontus!	-89
2018-10-17	Stockholms Stads Bostadsförmedling	-225
2018-10-16	L'Angolo	-95
2018-10-15	Mama Ye's	-79
2018-10-14	Tures Bar	-193
2018-10-13	L'Angolo	-95
2018-10-12	McDonalds	-95
2018-10-12	Shell	-49
2018-10-12	Taxi Stockholm	-360
2018-10-11	Vapiano Gamla stan	-75
2018-10-11	Texas Longhorn	-222
2018-12-20	Swish mottagen +46706460556	111
2018-10-11	Tobaks Hörnet	-48.13
2018-10-10	Bantorget Se	-120
2018-10-10	Caliente Tapas	-337
2018-10-10	ICA Supermarket Baronen	-65
2018-10-10	Nike store	-400
2018-10-08	Sandys	-84
2018-10-08	Texas Burger	-110
2018-10-07	Hemköp Odenplan	-249.06
2018-10-07	Vurma	-70
2018-10-07	Snabboteket	-142.5
2018-10-06	Taxi Stockholm	-355
2018-10-05	7-Eleven Odenplan	-51
2018-10-05	Ekholmsnäs Gård	-150
2018-10-05	Panini	-33
2018-10-04	Vurma	-70
2018-10-04	Riche	-144
2018-10-04	Lön	29985
2018-10-04	Taxi Kurir Stockholm	-200
2018-10-03	Riche	-84
2018-10-02	Vurma	-70
2018-10-02	Vurma Birger Jarlsgatan	-62
2018-10-02	Vigårda Barbeque	-115
2018-10-01	Vapiano Östermalm	-75
2018-09-30	Hemköp Odenplan	-169.5
2018-09-30	MediaMarkt	-98
2018-09-30	Resecentrum	-945
2018-09-30	Wiggo	-95
2018-09-30	Berns Nosh & Chow	-411
2018-09-30	Berns Nosh & Chow	-220
2018-09-30	Spotify	-99
2018-09-30	Taxi Stockholm	-166
2018-09-29	PrisExtra	-142.13
2018-09-29	Systembolaget	-394.6
2018-09-28	Euroaccident	-122
2018-09-28	Apotek Hjärtat Odenplan	-624
2018-09-28	Bolån	-1130
2018-09-28	Lån 354238	-900
2018-09-28	Pontus!	-400
2018-09-28	Story Hotel	-216
2018-09-28	Story Hotel	-144
2018-09-28	UCL Tandläkare	-55	PAYMENT
2018-09-28	Vigårda Barbeque	-70
2018-09-27	Egmont Tidskrifter	-375
2018-09-27	Bankavgift	-25
2018-09-27	Vapiano Östermalm	-75
2018-09-27	Hyra Stockholm	-2001	PAYMENT
2018-09-27	Mjölby Dataspecialist	-2480.09
2018-09-27	Stockholms Hem	-2003
2018-09-27	Sveriges Ingenjörer	-135
2018-09-26	Icha Icha	-99
2018-09-26	SL	-790
2018-09-25	Vapiano Gamla stan	-99
2018-09-24	Curry Spice	-79
2018-09-24	Hemköp Fältöversten	-244.89
2018-09-23	Albert & Jack's	-554
2018-09-23	SJ Ombord	-62
2018-09-23	SJ Ombord	-171
2018-09-23	Skåne Buss	-45
2018-09-22	Roberts Coffee	-51
2018-09-22	Skåne Buss	-45
2018-09-20	Taxi Stockholm	-102
2018-09-20	Pontus!	-99
2018-09-20	Waynes Coffee	-71
2018-09-19	Beijing 8 Sushi	-85
2018-09-19	L'Angolo	-160
2018-09-18	TGI Fridays Stureplan	-297
2018-09-18	Mama Ye's	-79
2018-09-18	Midsommar	-300
2018-09-18	Riche	-125
2018-09-18	Vassa Eggen	-124
2018-09-17	Clas Ohlson Gallerian	-127
2018-09-17	ICA Nära Sveavägen	-157.86
2018-09-17	Mandira Indian cuisine	-84
2018-09-16	Casino Cosmopol	-2000
2018-09-16	Casino Cosmopol	-384
2018-09-16	Restaurang AG	-1100
2018-09-13	Fac Flygbussarna	-159
2018-09-13	Forex exchange	-2197
2018-09-13	Hms Host Skavsta Flygplats	-142
2018-09-13	Roberts Coffee	-51
2018-09-12	Collage	-302
2018-09-12	Sturehof	-65
2018-09-12	Sturehof	-65
2018-09-12	Sparkonto	-30000
2018-09-11	Pontus!	-99
2018-09-10	Curry Spice	-84
2018-09-09	Le Cafe	-250
2018-09-09	Operakällaren	-180
2018-09-09	Taxi 022	-345
2018-09-09	Taxi Kurir Stockholm	-184
2018-09-08	Roberts Coffee Östermalmshallen	-182
2018-09-07	Pontus!	-99
2018-09-06	Humlan	-264
2018-09-06	Taxi Stockholm	-175
2018-09-05	Texas Burger	-120
2018-09-05	Bistro Napol	-72
2018-09-05	Waynes Coffee	-55
2018-09-05	Lön	37985
2018-09-04	Vurma	-55
2018-09-03	ICA Nära Sveavägen	-174.2
2018-09-03	Medstop Apotek Rådjuret	-583.9
2018-09-03	Mia	-150
2018-09-01	Systembolaget	-279
2018-09-01	Taxi 023	-292
2018-09-01	Taxi Kurir Stockholm	-101
2018-09-01	Resecentrum	-745
2018-09-01	Resecentrum	-700
2018-08-30	Hemköp Odenplan	-44.95
2018-08-30	Mama Ye's	-85
2018-08-30	Systembolaget	-140.7
2018-08-30	UCL Tandläkare	-55	PAYMENT
2018-08-30	Vurma Birger Jarlsgatan	-62
2018-08-30	Vurma Birger Jarlsgatan	-62
2018-08-29	Pressbyrån Kungsgatan	-59
2018-08-29	Bankavgift	-25
2018-08-29	Hyra Stockholm	-2003	PAYMENT
2018-08-29	Spotify	-99
2018-08-29	Thai Take Away	-79
2018-08-28	Apotek Hjärtat Odenplan	-624
2018-08-28	ICA Nära Sveavägen	-99.5
2018-08-28	McDonalds	-33
2018-08-28	Pontus!	-99
2018-08-28	SL	-790
2018-08-27	Euroaccident	-118
2018-08-27	Ränta- Bil	-900
2018-08-27	Ränta -	-1130
2018-08-27	Vurma	-55
2018-08-27	Vassa Eggen	-124
2018-08-26	Collage	-186
2018-08-25	Knistad Hotell & Konferens	-3154
