date	description	amount	type	pending
2013-11-06	STADIUM 216 /12-11-04	-78		
2013-11-06	BARISTA FT C/12-11-05	-54		
2013-11-06	MALMO KOMMUN/12-11-05	-15		
2013-11-06	PLOCKEPINN  /12-11-05	-88		
2013-11-06	COOP FORUM J/12-11-04	-801.35		
2013-11-06	ICA KVANTUM /12-11-02	-318.85		
2013-11-05	COOP FORUM J/12-11-03	-236.78		
2013-11-05	92712282671	-390		
2013-11-05	ICA NARA OXI/12-11-03	-273		
2013-11-05	DIN SKO 1031/12-11-03	-180		
2013-11-03	AUT11:44	-300		
2013-11-02	SYSTEMBOLAGE/12-11-01	-395		
2013-11-02	BURGER KING /12-11-01	-85		
2013-11-02	ST1 BULLTOFT/12-10-31	-672.45		
2013-11-02	COOP EXTRA B/12-10-31	-287.55		
2013-11-02	COOP EXTRA B/12-10-31	-45		
2013-11-02	NORWEGIAN A /12-10-30	-1693.99				
2013-11-01	H11010962063	31865.02		
2013-11-01	LF	-814		
2013-10-31	MCDONALDS ST/12-10-30	-69		
2013-10-31	SJ KUNDBOKNI/12-10-30	-1251		
2013-10-31	HI3G	-306		
2013-10-31	HI3G	-237		
2013-10-31	SYDSV DAGBLA	-173		
2013-10-30	TELIASONERA SVERIGE AB C	-389		
2013-10-30	MALMÖ KOMMUN PARKERINGS	-580		
2013-10-30	LÄNSFÖRSÄKRINGAR SAK	-4559		
2013-10-30	SEB KORT BANK AB	-13104.77		
2013-10-30	DAGENS NYHETER AB	-109		
2013-10-30	MCDONALDS ST/12-10-29	-54		
2013-10-30	MALMO KOMMUN/12-10-29	-10		
2013-10-30	CHAO ORIENTA/12-10-29	-49		
2013-10-29	ICA NARA BAR/12-10-27	-92.4		
2013-10-29	COOP EXTRA B/12-10-26	-267.25		
2013-10-29	E.ON FÖRS.AB	-1246		
2013-10-29	RÖTTER      /12-10-26	-70.93		
2013-10-29	KOTT O VILTS/12-10-26	-130		
2013-10-29	CAF  SELMA&R/12-10-26	-60		
2013-10-26	MCDONALDS ST/12-10-25	-75		
2013-10-26	SWEDBANK ATM/12-10-25	-100		
2013-10-26	SWEDBANK ATM/12-10-25	-400		
2013-10-26	SWEDBANK ATM/12-10-25	-1000		
2013-10-25	KAFFEROSTERI/12-10-24	-27		
2013-10-25	KAFFEROSTERI/12-10-24	-63		
2013-10-25	MALMO KOMMUN/12-10-24	-55		
2013-10-25	PARKERINGSAU/12-10-18	-10		
2013-10-25	JET MALM   P/12-10-24	-467.76		
2013-10-25	PARKERING MA/12-10-23	-21		
2013-10-25	L?N	33516		
2013-10-24	ICA KVANTUM /12-10-23	-371.11		
2013-10-24	HJÄRTMOTTAGN/12-10-23	-200		
2013-10-24	FKASSA  1204	1398		
2013-10-23	STADIUM 218 /12-10-22	-1015.2		
2013-10-22	LINDEX/55   /12-10-20	-208.5		
2013-10-22	STADIUM 216 /12-10-20	-159.2		
2013-10-22	APOTEK HJÄRT/12-10-20	-249.4		
2013-10-22	DIN SKO 1031/12-10-20	-559.2		
2013-10-22	CDON SVERIGE/12-10-20	-39		
2013-10-22	PREEM       /12-10-19	-58		
2013-10-22	STATOIL VARB/12-10-19	-22		
2013-10-22	KERSTINS DEL/12-10-19	-296		
2013-10-22	HUNNEBO FISK/12-10-19	-40		
2013-10-20	AUT13-19	-200		
