date	description	amount	type	pending
2012-11-05	PATCYS BLOMM/12-11-03	-89		
2012-11-05	PRESSBYRAN 2/12-11-03	-93		
2012-11-02	SPOTIFY 8 PR/12-11-01	-99		
2012-11-02	WILLY OHLSSO/12-11-01	-85		
2012-11-01	VIGARDA BARB/12-10-30	-75		
2012-10-31	AVG BRF NOV	2053		
2012-10-31	UBC EK. FÖRVALTNING I SV	-2053		
2012-10-31	EUROCARD AB	-9000		
2012-10-30	HÅR 3000 AB /12-10-29	-345		
2012-10-30	ENKLA VARDAG	-25		
2012-10-29	ELITE STADSH/12-10-28	-264		
2012-10-29	CIAO CIAO QU/12-10-28	-84		
2012-10-29	PRESSBYRAN 8/12-10-28	-200		
2012-10-29	FORNO NAPOLI/12-10-28	-125		
2012-10-29	UTMKROKT12	8908		
2012-10-29	ICA MATHORNA/12-10-26	-25.9		
2012-10-29	"MODERNA FÖRSÄKRINGAR, FI"	-799		
2012-10-29	RADIOTJÄNST I KIRUNA AB	-519		
2012-10-26	TACO BAR    /12-10-25	-72		
2012-10-26	ALEWALDS SPO/12-10-25	-2471.2		
2012-10-26	ALEWALDS SPO/12-10-25	-1033.2		
2012-10-26	GEM SPAR	-1500		
2012-10-26	52112101986	-200		
2012-10-26	GEMENSAMT	-11500		
2012-10-26	KAP FÖRSÄKR	-1750		
2012-10-26	52112520695	-1000		
2012-10-26	FONDER	-800		
2012-10-25	LÖN	26386		
2012-10-24	OSLO        /12-10-22	-362.11		
2012-10-24	FAB STOCKHOL/12-10-20	-222		
2012-10-22	STUREHOF    /12-10-19	-320		
2012-10-22	WWW FAVOPTIC/12-10-21	-460		
2012-10-22	SJ KUNDBOKNI/12-10-21	-1400		
2012-10-22	SCANDIC HOTE/12-10-19	-118		
2012-10-22	SCANDIC HOTE/12-10-19	-350		
2012-10-22	WIGGO       /12-10-19	-72		
2012-10-17	SSP AB ARLAN/12-10-15	-70		
2012-10-16	SUSHI HUSET /12-10-15	-165		
2012-10-16	ELGIGANTEN S/12-10-15	-499		
2012-10-15	MCDONALD S N/12-10-14	-20		
2012-10-15	CAFE SENSO  /12-10-11	-285		
2012-10-12	APOTEKET ELE/12-10-11	-17.5		
2012-10-12	SYNSAM 209 N/12-10-11	-350		
2012-10-12	TDL  P   STG/12-10-11	-270		
2012-10-11	LW0171673998	-497		
2012-10-11	PRESSBYRAN 8/12-10-10	-200		
2012-10-10	EL PRAT DE L/12-10-09	-247.11		
2012-10-09	CLAS OHLSON /12-10-08	-69		
2012-10-09	AUT05-39	-725.65		
2012-10-08	RIETMANNS EF/12-10-05	-90		
2012-10-08	CAFE SENSO  /12-10-04	-95		
2012-10-05	SNABBKÖP    /12-10-04	-200		
2012-10-05	TGI FRIDAY S/12-10-03	-98		
2012-10-03	WIGGO       /12-10-02	-80		
2012-10-03	WAGAMAMA    /12-10-01	-27		
2012-10-03	WAGAMAMA    /12-10-01	-323		
2012-10-03	MKRUTL121003	7737		
2012-10-02	SPOTIFY 8 PR/12-10-01	-99		
2012-10-02	SUSHI HUSET /12-10-01	-70		
2012-10-02	APOTEKET C W/12-10-01	-131		
2012-10-01	SNABBKÖP    /12-09-28	-200		
2012-10-01	PRESSBYRAN 4/12-09-28	-17		
2012-10-01	CIVILEKONOMERNAS RIKSFÖR	-819		
2012-10-01	AVG BRF OKT	2053		
2012-10-01	COMHEM TVAVG	642		
2012-10-01	MAT	92		
2012-09-28	UBC EK. FÖRVALTNING I SV	-2053		
2012-09-27	MAX I BROMMA/12-09-25	-92		
2012-09-27	GEM SPAR	-1500		
2012-09-27	52112101986	-200		
2012-09-27	KAP FÖRSÄKR	-1750		
2012-09-27	52112520695	-1000		
2012-09-27	FONDER	-800		
2012-09-27	ENKLA VARDAG	-25		
2012-09-27	COM HEM AB	-642		
2012-09-27	EUROCARD AB	-5000		
2012-09-26	GATEAU STURE/12-09-25	-84		
2012-09-26	REST ABERDEE/12-09-25	-80		
2012-09-26	CAFE SENSO  /12-09-24	-95		
2012-09-26	COOP KONSUM /12-09-24	-390.81		
2012-09-26	GEM UTG SEP	1300		
2012-09-26	MARKUS KROON	1500		
2012-09-26	GEMENSAMT	-11500		
2012-09-25	AUT19:01	-3200		
2012-09-25	LÖN	26386		
2012-09-24	SL ODENPLAN /12-09-20	-300		
2012-09-21	MARKUS KROON	500		
2012-09-20	CAFE DELTA  /12-09-19	-72		
2012-09-18	PRESSBYRAN 8/12-09-17	-66		
