date	description	amount	type	pending
8/5/13	Salary	24300		
8/4/13	Transfer	-40000		
8/4/13	Zink Grill	-715		
8/3/13	Coffee corner	-79		
8/3/13	Espresso House	-88		
8/3/13	AT&T	-220		
8/3/13	Pontus Restaurant	-115		
8/2/13	Bistro Jarl Pub	-62		
8/2/13	Bistro Jarl Pub	-62		
8/2/13	Travelcity	-645		
8/1/13	Travelcity	-523		
8/1/13	Travelcity	-615		
7/30/13	Travelcity	-595		
8/1/13	7-Eleven	-43		
7/30/13	H&M	-324		
7/30/13	H&M	-284		
7/30/13	H&M	-313		
7/29/13	Pressbyrån	-51		
7/29/13	Heart Pharmacy	-324		
7/29/13	Heart Pharmacy	-299		
7/28/13	Pressbyrån	-33		
7/27/13	Taxi Stockholm	-281		
7/26/13	Riche Restaurant	-144		
7/26/13	Pascha Deli	-70		
7/25/13	Pontus' Restaurant	-189		
7/25/13	Pontus' Restaurant	-199		
7/24/13	Zara Woman	-345		
7/24/13	Zara Woman	-325		
7/24/13	Zara Woman	-318		
7/24/13	Pascha Deli	-190		
7/24/13	Taxi Stockholm	-188		
7/23/13	Taxi Stockholm	-168		
7/23/13	H&M	-100		
7/23/13	Zocalo K25	-79		
7/23/13	Lisapaveg	-115		
7/23/13	Espresso House	-88		
7/23/13	Tele2	-60		
7/22/13	Pong	-145		
7/22/13	Lisapaveg	-85		
7/22/13	7-Eleven	-43		
7/21/13	Nytorget 6	-789.04		
7/21/13	Ekholmsnäs Gård	-150		
7/19/13	Zocalo K25	-164		
7/19/13	Lisapaveg	-95		
7/18/13	Pontus!	-89		
7/18/13	Stockholms Stads Bostadsf	-225		
7/17/13	Pascha Deli	-95		
7/16/13	Mandira Indi	-79		
7/15/13	Tures Compan	-193		
7/14/13	Pascha Deli	-95		
7/13/13	Taxi Stockholm	-360		
7/13/13	MAX	-95		
7/13/13	Statoil	-49		
7/12/13	Rest The Bul	-222		
7/12/13	Panini	-75		
7/12/13	T-jarlen Sto	-48.13		
7/11/13	Inside	-400		
7/11/13	Caliente Tap	-337		
7/11/13	Bantorget Se	-120		
7/11/13	Handlarn Hot	-65		
7/9/13	Texas Burger	-110		
7/9/13	Sandys Sture	-84		
7/8/13	ICA	-249.06		
7/8/13	Apoteket	-142.5		
7/8/13	Pascha Deli	-70		
7/7/13	Taxi Stockholm	-355		
7/6/13	Ekholmsnäs Gård	-150		
7/6/13	Pressbyrån	-51		
7/6/13	Pressbyrån	-33		
7/5/13	Taxi Kurir S	-200		
7/5/13	Riche	-144		
7/5/13	Pascha Deli	-70		
7/5/13	Salary	38985		
7/4/13	Curry Spice	-84		
